Geographic Area,Student Subgroup,Scenario (Percent of dropouts who graduate),Combined increased annual earnings ($),Increased Investment ($),Increased Spending ($),Increased state tax revenue ($),Increased Value of Home Sales ($),Increased Value of Vehicle Sales ($),New Jobs Created,Growth in GDP ($)
"Charleston-North Charleston-Summerville, SC","White, Non-Hispanic",25%,7519010.32,2156210.64,5362799.68,592159.15,17864125.45,500000.41,60.62415427,9697018.21
"Charleston-North Charleston-Summerville, SC",All Students,25%,14813610.65,3675764,11137846.66,1186416.43,32551399.71,1193524.42,121.7215894,19153237.02
"Charlotte-Gastonia-Concord, NC-SC",American Indian or Alaska Native,25%,277125.4,76134.41,200990.99,28448.55,653286.24,19525,2.236531155,372284.18
"Charlotte-Gastonia-Concord, NC-SC",Asian/Pacific Islander,25%,771431.15,222854.58,548576.58,78588.89,1837416.96,47859.19,6.177748904,1034925.71
"Charlotte-Gastonia-Concord, NC-SC",Hispanic,25%,3532627.38,923116.39,2609510.99,365665.59,8288843.61,260412.15,28.71855842,4751722.16
"Charlotte-Gastonia-Concord, NC-SC",Black,25%,12904198.36,3400433.76,9503764.61,1341389.43,31099866.86,977147.59,104.7798463,17353744.69
"Charlotte-Gastonia-Concord, NC-SC","White, Non-Hispanic",25%,14361714.49,4307161.48,10054553.01,1495739.71,38903065.08,854853.16,114.3143739,19246922.65
"Charlotte-Gastonia-Concord, NC-SC",All Students,25%,31348196.04,8228272.17,23119923.86,3249003.07,74274150.59,2186950.73,254.6845337,42161637.18
"Chattanooga, TN",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Chattanooga, TN",Asian/Pacific Islander,25%,47724.24,13006.46,34717.79,3364.05,96276.32,4523.51,0.37365378,62278.59
"Chattanooga, TN",Hispanic,25%,61977.81,15434.87,46542.94,4460.2,126434.96,6984.56,0.490667523,81017.65
"Chattanooga, TN",Black,25%,1120738.97,271084.95,849654.02,79401.85,2076548.9,142097.14,8.902535652,1465798.32
"Chattanooga, TN","White, Non-Hispanic",25%,3623568.7,1004535.23,2619033.47,260015.32,7994822.04,366341.46,28.30728869,4727022.64
"Chattanooga, TN",All Students,25%,4520380.33,1084178.58,3436201.75,321683.6,8489294.4,515781.74,35.94169275,5913017.2
"Cheyenne, WY",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cheyenne, WY",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cheyenne, WY",Hispanic,25%,172798.28,45578.47,127219.81,10679.8,441537.79,19284.07,1.043133228,209274.76
"Cheyenne, WY",Black,25%,44558.25,12036.12,32522.13,2701.2,108677.27,6250.74,0.268461614,53964.8
"Cheyenne, WY","White, Non-Hispanic",25%,842685.5,249436.49,593249.01,50955.28,2226136.12,75590.23,5.036808485,1020630.06
"Cheyenne, WY",All Students,25%,938830.4,243999.81,694830.59,57272.83,2258405.16,101647.73,5.674166036,1137002.78
"Chicago-Naperville-Joliet, IL-IN-WI",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Chicago-Naperville-Joliet, IL-IN-WI",Asian/Pacific Islander,25%,2497078.47,785356.49,1711721.98,331028.61,7842440.04,132494.34,19.73429767,3487188.9
"Chicago-Naperville-Joliet, IL-IN-WI",Hispanic,25%,38317002.31,10525185.46,27791816.85,5126799.07,115843928.9,2594673.85,310.8332272,53800974.16
"Chicago-Naperville-Joliet, IL-IN-WI",Black,25%,48710242.16,13635971.51,35074270.65,6457172.78,144907861.6,3310899.16,393.8004831,68345341.52
"Chicago-Naperville-Joliet, IL-IN-WI","White, Non-Hispanic",25%,32264210.51,10058768.71,22205441.81,4302277.33,102400775.7,1759629.65,255.4482899,45074119.35
"Chicago-Naperville-Joliet, IL-IN-WI",All Students,25%,113302571.4,31262703.09,82039868.26,14593724.49,309541123.7,7249510.44,918.3921527,159061662.2
"Chico, CA",American Indian or Alaska Native,25%,78642.13,18680.26,59961.87,9339.42,222378.57,10410.32,0.639478099,101866.75
"Chico, CA",Asian/Pacific Islander,25%,45862.69,11426.67,34436.02,5435.15,133787.75,5308.44,0.370661812,59365.62
"Chico, CA",Hispanic,25%,331513.12,77173.84,254339.27,39878.62,985214.34,42754.98,2.702398149,429537.42
"Chico, CA",Black,25%,51414.63,12104.51,39310.12,6074.78,140332.59,7243.86,0.418539282,66606.8
"Chico, CA","White, Non-Hispanic",25%,1199286.3,316435.71,882850.59,146014.2,4172187.39,129921.83,9.617458835,1551015.54
"Chico, CA",All Students,25%,1687742.93,382898.14,1304844.8,201455.92,4714117.74,213609.68,13.80059421,2187561.64
"Cincinnati-Middletown, OH-KY-IN",American Indian or Alaska Native,25%,56277.77,15489.68,40788.09,5790.24,140036.81,3490.04,0.495044304,76541.13
"Cincinnati-Middletown, OH-KY-IN",Asian/Pacific Islander,25%,234442.25,71854.96,162587.29,23541.26,575892.48,11713.8,2.023242919,317710.89
"Cincinnati-Middletown, OH-KY-IN",Hispanic,25%,470864.44,129462.3,341402.14,48634.23,1186626.75,27933.29,4.142660872,640425.13
"Cincinnati-Middletown, OH-KY-IN",Black,25%,6994719.98,1856099.19,5138620.8,730483.35,17922229.29,452348.27,61.8965807,9524030.54
"Cincinnati-Middletown, OH-KY-IN","White, Non-Hispanic",25%,16219294.35,4827723.76,11391570.58,1670551.36,42539247.58,840347.36,140.7363293,22002419.7
"Cincinnati-Middletown, OH-KY-IN",All Students,25%,21772401.79,5689023.14,16083378.66,2200740.28,49196604.61,1333539.38,193.1358011,29659177.79
"Cleveland-Elyria-Mentor, OH",American Indian or Alaska Native,25%,56915.19,14783.05,42132.14,6379.33,127306.19,3526.08,0.498654918,77398.75
"Cleveland-Elyria-Mentor, OH",Asian/Pacific Islander,25%,422795.74,125680.76,297114.99,46441.03,962520.5,21289.61,3.62827578,572684.39
"Cleveland-Elyria-Mentor, OH",Hispanic,25%,2651576.66,678798.29,1972778.36,297482.57,5899194.35,164218.62,23.27894319,3607290.42
"Cleveland-Elyria-Mentor, OH",Black,25%,15334001.83,3889924.89,11444076.95,1729381.3,34549422.58,982083.84,134.7918322,20865966.08
"Cleveland-Elyria-Mentor, OH","White, Non-Hispanic",25%,13537017.61,3885576.18,9651441.43,1544478.87,34031397.96,698294.64,116.8328574,18355977.22
"Cleveland-Elyria-Mentor, OH",All Students,25%,27145575.13,6792521.82,20353053.31,3077094.16,61744492.03,1677854.61,239.0692678,36952175.12
"Colorado Springs, CO",American Indian or Alaska Native,25%,231386.69,59423.01,171963.68,21559.56,827696.82,12084.16,1.713595227,294697.64
"Colorado Springs, CO",Asian/Pacific Islander,25%,249077.34,64987.85,184089.49,23041.94,873645.84,12042.49,1.841306862,317173.35
"Colorado Springs, CO",Hispanic,25%,1265028.49,308420.22,956608.27,118267.53,4411428.62,65520.46,9.421670613,1612051.56
"Colorado Springs, CO",Black,25%,935189.7,234951.05,700238.65,87489.13,3348298.67,51167.75,6.942652295,1191354.74
"Colorado Springs, CO","White, Non-Hispanic",25%,5575037.33,1581323.47,3993713.86,515456.68,20910330.19,241581.83,40.80408451,7092345.58
"Colorado Springs, CO",All Students,25%,7463889.48,1841012.03,5622877.46,696838.69,26098266.26,386369.25,55.52075099,9510233.03
"Columbia, SC",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Columbia, SC",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Columbia, SC",Hispanic,25%,706009.27,184934.3,521074.97,65041.07,1594272.02,46786.98,6.309254164,928194.42
"Columbia, SC",Black,25%,7317980.46,1844364.12,5473616.34,681112.78,16764743.96,529485.33,65.73959708,9628745.75
"Columbia, SC","White, Non-Hispanic",25%,5879527.78,1695317.36,4184210.43,542305.18,14755531.44,338643.03,51.8096002,7713253.2
"Columbia, SC",All Students,25%,13230568.62,3312397,9918171.63,1226109.16,29429257.2,903566.63,118.9586082,17410690.78
"Columbus, GA",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Columbus, GA",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Columbus, GA",Hispanic,25%,111100.78,28494.33,82606.45,7324.06,263971.73,17986.09,0.808187874,137412.85
"Columbus, GA",Black,25%,1586830.59,398957.55,1187873.04,103432.4,3488943.06,310068.62,11.56323252,1962965.1
"Columbus, GA","White, Non-Hispanic",25%,1115597.13,319889.93,795707.2,73833.87,2959173.39,163080.33,8.030877943,1378439.11
"Columbus, GA",All Students,25%,3110099.36,773233.86,2336865.5,202341.05,6701159.08,505200.17,22.68503182,3847653.86
"Columbus, OH",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Columbus, OH",Asian/Pacific Islander,25%,468653.22,141662.62,326990.6,50640.74,1130310.32,21238.26,4.12264827,638289.87
"Columbus, OH",Hispanic,25%,1092968.54,292595.99,800372.55,117851.68,2455502.44,58273.19,9.822701463,1494647.53
"Columbus, OH",Black,25%,9199794.03,2409960.98,6789833.05,996345.04,20719338.51,521692.65,82.97147614,12589313.76
"Columbus, OH","White, Non-Hispanic",25%,13076055.42,3841075.88,9234979.55,1460452.33,34114944.64,606131.61,115.6415055,17827034.26
"Columbus, OH",All Students,25%,20077469.44,5175878.38,14901591.06,2160230.99,43939861.64,1105338.56,181.5357853,27488106.11
"Corpus Christi, TX",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Corpus Christi, TX",Asian/Pacific Islander,25%,69464.24,19640.3,49823.94,5033.07,108055.89,4473.73,0.534613208,88558.2
"Corpus Christi, TX",Hispanic,25%,6139908.07,1494128.89,4645779.18,451033.39,9046857.47,459439.63,48.3003273,7845191.39
"Corpus Christi, TX",Black,25%,449448.93,114564.49,334884.44,33145.23,687779.07,34077.84,3.513185692,573900.44
"Corpus Christi, TX","White, Non-Hispanic",25%,2082150.1,590436.16,1491713.94,151803.26,3297924.71,129594.15,16.01723854,2654354.72
"Corpus Christi, TX",All Students,25%,8464330.83,2058421.54,6405909.29,619660.24,12347461.04,626542.55,66.59151372,10815291.79
"Cumberland, MD",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cumberland, MD",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cumberland, MD",Hispanic,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Cumberland, MD",Black,25%,57128.87,12537.94,44590.93,5723.3,159794.33,6209.67,0.450376064,70795.54
"Cumberland, MD","White, Non-Hispanic",25%,503201.84,132174.63,371027.21,52638.11,1777963.19,42849.53,3.899357719,622872.01
"Cumberland, MD",All Students,25%,457570.06,102343.12,355226.94,46542.22,1365604.5,46781.45,3.601280082,566969.74
"Dallas-Fort Worth-Arlington, TX",American Indian or Alaska Native,25%,749819.55,211235.95,538583.6,68265.44,1234194.32,41116.25,5.662119822,1031652.07
"Dallas-Fort Worth-Arlington, TX",Asian/Pacific Islander,25%,2567435.82,776888.98,1790546.84,233435.23,4438897.61,124290.16,19.15815014,3523543.34
"Dallas-Fort Worth-Arlington, TX",Hispanic,25%,49236754.94,13067430.45,36169324.49,4376733.43,72126574.86,2854512.67,375.2393364,67876725.35
"Dallas-Fort Worth-Arlington, TX",Black,25%,28103684.98,7624581.27,20479103.7,2571750,45687413.16,1630855.99,213.4719127,38715569.81
"Dallas-Fort Worth-Arlington, TX","White, Non-Hispanic",25%,38604059.02,11789875.77,26814183.25,3510922.87,67258040.01,1792353.54,287.5982039,52962089.56
"Dallas-Fort Worth-Arlington, TX",All Students,25%,120233959.2,32304719.46,87929239.69,10763049.58,181713480.6,6637933.91,914.6291363,165686357.3
"Davenport-Moline-Rock Island, IA",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Davenport-Moline-Rock Island, IA",Asian/Pacific Islander,25%,98107.62,27032.73,71074.89,9650.53,196707.09,9417.22,0.802406811,127171.04
"Davenport-Moline-Rock Island, IA",Hispanic,25%,385299.1,93808.07,291491.03,38294.52,749422.77,45800.74,3.204261297,500583.25
"Davenport-Moline-Rock Island, IA",Black,25%,847079.71,205464.92,641614.79,83894.88,1625780.48,105873.68,7.04787413,1100603.22
"Davenport-Moline-Rock Island, IA","White, Non-Hispanic",25%,2565593.03,703956.95,1861636.08,259589.09,5592053.1,259869.53,20.99631318,3325899.48
"Davenport-Moline-Rock Island, IA",All Students,25%,3368502.42,800977.85,2567524.57,329734.7,6155298.16,393058.31,28.09551147,4378152.52
"Dayton, OH",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Dayton, OH",Asian/Pacific Islander,25%,153364.73,43810.77,109553.96,14258.24,346380.08,11132.2,1.316738942,201285.93
"Dayton, OH",Hispanic,25%,295810.83,75837.21,219973.61,27862.37,659434.96,24592.78,2.579017552,389182.3
"Dayton, OH",Black,25%,3937566.55,981771.36,2955795.19,372530.06,8787361.76,346873.24,34.45515169,5183451.19
"Dayton, OH","White, Non-Hispanic",25%,7303186.18,2049488.46,5253697.72,704169.92,18231728.32,528314.9,62.86943245,9589172.33
"Dayton, OH",All Students,25%,9967878.64,2424756.72,7543121.92,950060.74,22520589.97,849834.95,87.49722914,13128390.19
"Deltona-Daytona Beach-Ormond Beach, FL",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Deltona-Daytona Beach-Ormond Beach, FL",Asian/Pacific Islander,25%,73584.36,18877.72,54706.64,5453.49,172035.99,7121.65,0.628934772,95753.15
"Deltona-Daytona Beach-Ormond Beach, FL",Hispanic,25%,1209525.9,295832.58,913693.33,88522.66,2670448.84,126460.81,10.38760387,1575125.33
"Deltona-Daytona Beach-Ormond Beach, FL",Black,25%,1396904.88,334034.28,1062870.61,100914.23,2943105.67,152698.24,12.02301983,1819778.27
"Deltona-Daytona Beach-Ormond Beach, FL","White, Non-Hispanic",25%,5228397.13,1407975.2,3820421.93,393288.73,13000270.83,465115.25,44.45905833,6798005.21
"Deltona-Daytona Beach-Ormond Beach, FL",All Students,25%,7359147.45,1712828.04,5646319.41,538621.93,15835401.56,772581.68,63.50045156,9590830.19
"Denver-Aurora, CO",American Indian or Alaska Native,25%,557917.92,157501.94,400415.98,61588.23,2162219.47,32033.78,4.039058757,748452.34
"Denver-Aurora, CO",Asian/Pacific Islander,25%,818834.76,241085.13,577749.64,89615.44,3173923.68,42795.43,5.887041452,1097043.95
"Denver-Aurora, CO",Hispanic,25%,15318541.2,4118368.6,11200172.6,1705229.65,59108761.22,899603.42,111.7488192,20579684.75
"Denver-Aurora, CO",Black,25%,3207863.21,890759.65,2317103.57,353216.44,12159393,192649.92,23.28454936,4305517.76
"Denver-Aurora, CO","White, Non-Hispanic",25%,15328529.42,4724603.83,10603925.59,1686914.98,62844674.15,741205.64,109.3328049,20506094.78
"Denver-Aurora, CO",All Students,25%,32491759.9,8825911.27,23665848.63,3536407.09,115664624.6,1851958.81,236.6541282,43637981.51
"Des Moines-West Des Moines, IA",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Des Moines-West Des Moines, IA",Asian/Pacific Islander,25%,166033.12,46869.95,119163.17,16748,343168,8569.62,1.343981361,221358.79
"Des Moines-West Des Moines, IA",Hispanic,25%,404618.2,106146.74,298471.46,41447.16,845920.6,23206.52,3.315857885,540485.13
"Des Moines-West Des Moines, IA",Black,25%,251612.46,66254.63,185357.83,25823.05,530258.95,14713.91,2.060728459,336069.7
"Des Moines-West Des Moines, IA","White, Non-Hispanic",25%,2940521.03,868818.21,2071702.82,301106.26,6528297.75,140650.12,23.60770212,3915375.85
"Des Moines-West Des Moines, IA",All Students,25%,3349037.49,868620.81,2480416.69,334597.91,6403552.72,189723.73,27.49555294,4474894.81
"Detroit-Warren-Livonia, MI",American Indian or Alaska Native,25%,792039.42,218083.34,573956.08,86088.17,2495014.85,44829.27,5.311120555,1029790.91
"Detroit-Warren-Livonia, MI",Asian/Pacific Islander,25%,1485541.29,469640.05,1015901.24,161870.18,4957313.81,65380.05,9.729059247,1925385.06
"Detroit-Warren-Livonia, MI",Hispanic,25%,2661832.06,715756.6,1946075.46,281191.21,7755672.1,151515.17,17.91507334,3462573.04
"Detroit-Warren-Livonia, MI",Black,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Detroit-Warren-Livonia, MI","White, Non-Hispanic",25%,30879532.32,9284351.76,21595180.56,3408097.7,104054676.7,1474864.36,204.0681237,40070392.62
"Detroit-Warren-Livonia, MI",All Students,25%,66636196.12,17660454.28,48975741.84,6960599.5,187681241.8,3744084.25,449.4737824,86707775.42
"Dothan, AL",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Dothan, AL",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Dothan, AL",Hispanic,25%,66639.13,16035.91,50603.22,3745.11,127918.62,6468.5,0.549465454,85372.27
"Dothan, AL",Black,25%,730672.17,168086.31,562585.87,41043.61,1280899.63,79478.42,6.049743728,936580.47
"Dothan, AL","White, Non-Hispanic",25%,1092373.55,296594.69,795778.85,60231.87,2166887.55,92089.96,8.897821518,1397246.41
"Dothan, AL",All Students,25%,1763060.27,409121.18,1353939.09,99166.93,3191544.97,174642.94,14.58613742,2259670.66
"Dover, DE",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Dover, DE",Asian/Pacific Islander,25%,55644.25,15910.23,39734.02,3750.25,207417.57,3816.24,0.4110094,70037.55
"Dover, DE",Hispanic,25%,108226.1,29031.98,79194.12,7080.73,362684.43,8662.55,0.805525004,136327.65
"Dover, DE",Black,25%,916842.59,248165.24,668677.35,62749.18,3525056.89,76420.34,6.81693568,1154781.95
"Dover, DE","White, Non-Hispanic",25%,1311811.39,390515.81,921295.59,89938.55,5187130.1,93557.42,9.640109014,1650269.17
"Dover, DE",All Students,25%,2092326.76,548655.18,1543671.58,137766.71,7110677.3,165345.24,15.61356262,2636318.11
"Dubuque, IA",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Dubuque, IA",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Dubuque, IA",Hispanic,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Dubuque, IA",Black,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Dubuque, IA","White, Non-Hispanic",25%,308974.91,82908.32,226066.58,30328.2,670608.17,32813.64,2.511982172,392561.59
"Dubuque, IA",All Students,25%,306293.77,70474.09,235819.68,29043.91,531041.12,38691.27,2.535298609,389886.73
"Duluth, MN",American Indian or Alaska Native,25%,320317.96,75724.43,244593.53,35297.64,874840.77,21165.73,2.773393155,413513.59
"Duluth, MN",Asian/Pacific Islander,25%,79405.17,19213.97,60191.2,8708.58,215463.4,5071.29,0.685653329,102474.44
"Duluth, MN",Hispanic,25%,72642.42,17549.81,55092.61,8027.53,202544.43,4669.61,0.627374351,93749.03
"Duluth, MN",Black,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Duluth, MN","White, Non-Hispanic",25%,2721780.3,706425.14,2015355.16,302274.3,7994009.34,153373.72,23.30146686,3508911.53
"Duluth, MN",All Students,25%,2490509.63,554459.09,1936050.53,276178.7,6774218.06,169949.82,21.70746433,3217710.95
"Durham-Chapel Hill, NC",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Durham-Chapel Hill, NC",Asian/Pacific Islander,25%,160552.92,49619.85,110933.07,14362.12,386845.17,10913.47,0.932854944,198582.12
"Durham-Chapel Hill, NC",Hispanic,25%,1208601.08,293304.98,915296.1,110614.98,2796518.54,109439.53,7.189508137,1498990.1
"Durham-Chapel Hill, NC",Black,25%,4138951.4,1027563.67,3111387.73,379931.93,9802144.71,379927.5,24.57286066,5132226.06
"Durham-Chapel Hill, NC","White, Non-Hispanic",25%,2341637.95,674033.16,1667604.78,213055.72,5782868.76,174918.1,13.7090587,2898835.15
"Durham-Chapel Hill, NC",All Students,25%,7770645.55,1929558.99,5841086.56,709662.95,18025769.82,691771.57,46.13338211,9635443.34
"Elmira, NY",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Elmira, NY",Asian/Pacific Islander,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Elmira, NY",Hispanic,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Elmira, NY",Black,25%,52848.9,13117.14,39731.75,6492.17,99853.08,15006.37,0.400378324,66246.89
"Elmira, NY","White, Non-Hispanic",25%,233142.93,65084.68,168058.24,34409.38,666290.39,53660.26,1.740979893,291916.14
"Elmira, NY",All Students,25%,295118.77,70690.27,224428.5,35942.81,542202.76,70606.94,2.244755768,370053.5
"El Paso, TX",American Indian or Alaska Native,25%,100910.54,23786.97,77123.57,9439.31,143498.95,6541.16,0.94887893,131059.99
"El Paso, TX",Asian/Pacific Islander,25%,82749.84,21314.57,61435.28,7672.97,121481.43,4699.89,0.772130581,107337.38
"El Paso, TX",Hispanic,25%,14306222.23,3092450.86,11213771.37,1335966.86,19161880.73,1012053.64,135.4492666,18601593.24
"El Paso, TX",Black,25%,452533.36,105210.32,347323.04,42131.46,628605.69,30875.16,4.260083784,587848.57
"El Paso, TX","White, Non-Hispanic",25%,1410567.99,363597.97,1046970.02,133143.1,2181346.66,79696.94,13.16098974,1829671.26
"El Paso, TX",All Students,25%,16394656.08,3481509.49,12913146.58,1536421.31,21972328.07,1140484.57,155.4285344,21321759.05
"Erie, PA",American Indian or Alaska Native,25%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Erie, PA",Asian/Pacific Islander,25%,53152.71,13880.09,39272.62,5856.24,112568.77,3962.61,0.479862434,69153.05
"Erie, PA",Hispanic,25%,164125.38,36959.76,127165.62,18305.49,336673.37,13227.81,1.505601322,214054.22
"Erie, PA",Black,25%,493234.93,110374.84,382860.09,54924.05,1003923.08,41187.9,4.527506671,643344.55
"Erie, PA","White, Non-Hispanic",25%,2056486.24,528009.16,1528477.09,233133.06,4694947.9,139845.66,18.60243217,2676340.53
"Erie, PA",All Students,25%,2969503.15,647501.11,2322002.04,332469.01,6079077.41,248294.31,27.32652748,3874740
"Eugene-Springfield, OR",American Indian or Alaska Native,25%,89964.25,23096.3,66867.95,7417.76,290669.35,15620.18,0.825110927,119137.3
"Eugene-Springfield, OR",Asian/Pacific Islander,25%,56574.03,15142.21,41431.82,4690.74,185220.15,8480.49,0.516001882,74857.22
"Eugene-Springfield, OR",Hispanic,25%,236808.05,58899.21,177908.84,18244.16,645596.8,36891.61,2.180696133,313789.76
"Eugene-Springfield, OR",Black,25%,46120.37,11751.21,34369.16,3738.38,143009.31,8797.37,0.423408802,61084.98
